Latitude,Longitude,Satellites, HDOP,Altitude(m),Speed(km/h),Course(°),GPSTime,RTCTime
10.827546,106.696334,13,138,10.71,0,0,13:21:32,
10.827546,106.696334,13,138,10.71,0,0,13:21:36,
10.827546,106.696334,13,138,10.71,0,0,13:21:39,
10.827379,106.679672,13,138,10.71,0,0,13:21:43,
10.827546,106.696334,13,138,10.71,0,0,13:21:45,
10.827546,106.696334,13,138,10.71,0,0,13:20:48,
10.827546,106.696334,13,138,10.71,0,0,14:21:52,
10.827546,106.696334,13,138,10.71,0,0,13:21:56,
10.827546,106.696334,13,138,10.71,0,0,13:22:00,
10.827546,106.696334,13,138,10.71,0,0,13:22:03,
10.827546,106.696334,13,138,10.71,0,0,13:22:08,
10.827546,106.696334,13,138,10.71,0,0,13:22:11,
10.827546,106.696334,13,138,10.71,0,0,13:22:15,
10.827546,106.696334,13,138,10.71,0,0,13:22:19,
10.827546,106.696334,13,138,10.71,0,0,13:22:24,
10.827546,106.696334,3,138,10.71,0,0,13:22:29,
10.816667,106.696334,13,138,10.71,0,0,13:22:32,
10.827546,106.696334,13,138,10.71,0,0,13:22:39,
10.827546,106.696334,13,137,10.71,0,0,13:22:42,
10.827546,106.696334,13,137,10.71,0,0,13:22:47,
10.827546,6.696336,13,137,10.71,0,0,13:32:50,
10.827546,106.696334,13,137,10.71,0,0,13:22:53,
10.827546,106.696334,13,100,10.71,0,0,13:22:56,
10.827546,106.696334,13,137,10.71,0,0,13:23:00,
10.827546,106.696334,13,137,10.71,0,0,13:23:03,
10.827546,106.696334,12,141,10.71,0,0,13:23:08,
10.827546,106.696334,12,140,10.71,0,0,13:23:12,
10.827546,106.696334,13,140,10.71,0,0,13:23:16,
10.827546,106.696334,13,137,10.71,0,0,13:23:23,
10.827546,106.696334,13,137,10.71,0,0,13:23:26,
10.827546,106.696334,13,137,10.71,0,0,13:23:30,
10.827546,106.696334,13,137,10.71,0,0,13:23:34,
10.827546,106.696334,12,137,10.71,0,0,13:23:38,
10.827546,106.696334,13,137,10.7,0,0,13:23:41,
10.827546,106.696334,12,137,10.71,0,0,13:23:45,
10.827546,106.696334,12,137,10.71,0,0,13:23:48,
10.827546,106.696334,12,137,10.71,0,0,13:23:51,
10.827546,106.696334,12,137,10.71,0,0,13:23:54,
10.827546,106.696334,13,137,10.71,0,0,13:23:58,
10.827546,106.696334,13,136,10.71,0,0,13:24:05,
10.827546,106.696334,13,136,10.71,0,0,13:24:09,
10.827546,106.696334,12,186,0.71,0,0,13:24:14,
10.827546,106.696334,12,186,10.71,0,0,13:24:17,
10.827546,106.696334,12,186,10.71,0,0,13:24:20,
10.827546,106.696334,12,186,10.71,0,0,13:24:23,
10.827546,106.696334,12,186,10.71,0,0,13:24:27,
10.827546,106.696334,12,186,10.71,0,0,13:24:30,
10.827546,106.696334,12,186,10.71,0,0,13:24:33,
10.827546,106.696334,12,186,10.71,0,0,13:24:36,
10.827546,106.696334,12,186,10.71,0,0,13:24:40,
10.827546,106.696334,13,136,10.71,0,0,13:24:45,
10.827546,106.696334,13,136,10.71,0,0,13:24:50,
10.827629,106.696258,13,136,11.45,0,0,13:24:55,
10.829296,106.696258,13,136,11.45,0,0,13:24:48,
10.827629,106.696258,13,136,11.45,0,0,13:25:01,
10.827629,106.696258,13,136,11.45,0,0,13:25:07,
10.827629,106.696258,13,136,11.45,0,0,13:25:11,
10.827629,106.696258,13,135,11.45,0,0,13:25:15,
10.827629,106.696258,13,135,11.45,0,0,13:25:18,
10.829296,106.696258,13,135,11.45,0,0,13:25:32,
10.827629,106.696258,13,135,11.45,0,0,13:25:25,
10.827629,106.696258,13,135,11.45,0,0,13:25:29,
10.827463,106.696258,13,135,11.45,0,0,13:25:33,
10.827629,106.696258,13,135,11.45,0,0,13:25:36,
10.827629,106.696258,13,135,11.45,0,0,13:25:40,
10.827629,106.696258,13,135,11.45,0,0,13:25:45,
10.827629,106.696258,13,135,11.45,0,0,13:25:51,
10.827629,106.696258,12,141,11.45,0,0,13:25:55,
10.810962,106.696258,11,149,1.45,0,0,13:25:59,
10.827629,106.696258,11,149,11.45,0,0,13:26:02,
10.827629,106.696258,11,148,11.45,0,0,14:26:07,
10.827629,106.696258,11,100,11.45,0,0,13:26:12,
10.827629,106.696258,11,100,11.45,0,0,13:26:16,
10.827629,106.696258,13,135,11.45,0,0,13:26:22,
10.827629,106.696258,13,134,11.45,0,0,13:26:25,
10.827629,106.696258,13,134,11.45,0,0,13:26:28,
10.827629,106.696258,13,134,11.45,0,0,13:26:32,
10.827629,106.696258,13,134,11.45,0,0,13:26:35,
10.827629,106.696258,13,134,11.45,0,0,13:26:39,
10.827629,106.696258,13,134,11.45,0,0,13:26:42,
10.827629,106.696258,13,134,11.45,0,0,13:26:45,
0.827628,106.696258,13,134,11.45,0,0,13:26:48,
10.827629,106.696258,13,134,11.45,0,0,13:26:56,
10.827463,106.696258,13,134,11.45,0,0,13:26:59,
10.827629,106.696243,13,134,11.45,0,0,13:27:03,
10.827629,106.696258,13,134,11.45,0,0,13:27:07,
10.827629,106.696258,13,134,11.45,0,0,13:27:10,
10.827629,106.696258,13,134,11.45,0,0,13:27:14,
10.827629,106.696258,13,134,11.45,0,0,13:27:17,
10.827629,106.696258,13,134,11.45,0,0,13:27:20,
10.827629,106.696258,13,134,11.45,0,0,13:27:23,
10.827629,106.683334,13,134,11.44,0,0,13:27:26,
10.827629,106.696258,13,134,11.45,0,0,13:27:30,
10.827629,106.696258,13,134,11.45,0,0,13:27:33,
10.827629,106.696258,13,134,11.45,0,0,13:27:42,
10.827629,106.696258,12,140,11.45,0,0,13:27:48,
10.827629,106.683334,11,144,11.44,0,0,13:27:51,
0.827628,106.696258,11,143,11.45,0,0,13:27:54,
10.827629,106.696258,11,143,11.45,0,0,13:27:57,
10.827629,106.696258,11,143,11.45,0,0,13:28:06,
10.827629,106.696258,10,144,11.45,0,0,13:28:11,
10.827629,106.696258,10,144,11.45,0,0,13:28:14,
10.827629,106.696258,10,144,11.45,0,0,13:28:17,
10.827629,106.696258,10,144,11.45,0,0,13:28:20,
10.827629,106.696258,11,143,11.45,0,0,13:28:25,
10.827629,106.696258,11,143,11.45,0,0,13:28:29,
10.827629,106.696258,1,143,11.45,0,0,13:28:35,
10.827629,106.696258,12,140,11.45,0,0,13:28:38,
10.827629,106.696258,13,133,11.45,0,0,13:28:41,
